id|activo|id_campanya|id_estado|nombre|cif|contacto|direccion|nombre_pais|nombre_provincia|nombre_poblacion|nombre_codpostal|email|web|tel_fijo|tel_movil|fax|facturacion|comentarios
1|0|5|7|dui nec urna suscipit nonummy. Fusce fermentum fermentum|38164987-X|August Whitehead|197-2174 Fermentum Street|Cape Verde|Flevoland|Fort Wayne|V5M 7Q1|sagittis@Sed.com|http://www.curigunkfe.dom|93 421 16 44|672 929 540|90 495 56 28|931427|egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel arcu. Curabitur ut odio vel est tempor bibendum. Donec felis orci, adipiscing
2|0|2|6|vel nisl. Quisque fringilla euismod enim. Etiam|96612160-K|Jameson Hancock|4477 Ullamcorper St.|Botswana|Wisconsin|Clairton|T7P 7J2|non.lacinia.at@ametdapibus.org|http://www.taccbzoehx.wom|91 969 95 11|658 816 245|98 706 50 76|206864|aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris
3|0|10|0|a, aliquet vel, vulputate eu,|08193219-D|Abel Blackburn|328-1509 Curae; Street|Ecuador|Highland|Rohnert Park|X3 6SL|pede.ac@estarcuac.ca|http://www.vsaozmuctc.xom|95 439 85 46|661 598 244|92 112 98 24|837021|conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi
4|1|5|4|Aliquam auctor, velit eget laoreet posuere, enim nisl elementum|81966432-O|Thomas Ellis|Ap #840-4149 Eu St.|Saudi Arabia|Zuid Holland|Miami|30649|aliquet@Cumsociis.com|http://www.yosisjedec.tom|98 950 51 41|623 429 922|91 695 55 29|310632|dapibus quam quis diam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc ut erat.
5|0|8|1|et magnis dis parturient montes,|06768271-O|Colby Henry|Ap #781-3012 In St.|French Polynesia|PA|Schaumburg|X3D 6Z7|auctor.Mauris@sitamet.org|http://www.tafyrzfzrb.xom|99 163 95 15|651 767 742|99 987 68 96|564805|mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus mauris a nunc. In at pede. Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum porta elit, a feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed
6|1|6|10|enim, gravida sit amet, dapibus id, blandit|10805050-E|Gannon Patton|P.O. Box 194, 1187 Morbi St.|Bangladesh|QC|Saint Joseph|D7H 2Q3|at.arcu.Vestibulum@ipsumdolorsit.ca|http://www.imulqxosvj.mom|95 188 70 60|627 759 486|91 740 09 85|618241|Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus sit amet ante. Vivamus non lorem vitae odio sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis non enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla
7|0|6|5|Phasellus at augue id ante dictum cursus. Nunc mauris|65036649-K|Clinton Higgins|136-8310 Diam Rd.|Austria|NE|Fond du Lac|0396II|euismod@augueidante.com|http://www.zptqwulyhj.com|97 177 66 08|691 187 419|94 918 97 65|671794|nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam, elementum
8|1|7|4|lectus convallis est, vitae sodales nisi magna sed|54210309-K|Callum Silva|P.O. Box 205, 1474 Semper. Rd.|Yemen|Drenthe|Duluth|82334|velit.Quisque@eleifendnondapibus.com|http://www.fsfijglngt.nom|91 716 42 06|699 522 967|93 436 60 80|477782|aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus rutrum urna, nec
9|1|4|2|vel nisl. Quisque fringilla euismod enim. Etiam|05148217-D|Paki Aguilar|Ap #283-9972 A Ave|Christmas Island|Noord Holland|Waterbury|K6 6ZT|dui@vitaeposuereat.org|http://www.czpnrhsrmg.kom|93 892 86 67|662 129 100|99 925 02 16|943950|sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur
10|1|9|6|mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin|48525102-M|Dale Kim|Ap #463-3926 Nisl. Road|Maldives|DEV|Lahaina|L6N 3C7|sociosqu.ad.litora@eueratsemper.org|http://www.cndnbnxpev.hom|91 849 30 47|618 262 340|96 203 36 48|724413|ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu.
